,Year,Location,NC_Accession,Plot,pod_area,pod_length,lw_ratio,pod_per,pod_width,Block
87,2021.0,LEW,HTS IL-02,1083.0,362.7575683,33.01654669,2.246065924,80.72759976,14.81566157,1
88,2021.0,LEW,HTS IL-09,2064.0,224.7760223,25.71079099,2.219531359,62.88718548,11.6568953,2
89,2021.0,LEW,HTS IL-09,1081.0,219.3626784,25.18426358,2.195319577,61.89180817,11.54450441,1
90,2021.0,LEW,HTS IL-10,2139.0,240.6584743,25.10600644,1.966405947,63.48177363,12.846817,2
91,2021.0,LEW,HTS IL-10,1077.0,242.7336358,25.70001051,2.061011086,64.00670924,12.56110898,1
92,2021.0,LEW,HTS IL-13,2135.0,320.6455388,31.39721389,2.347645454,76.0167001,13.469774,2
93,2021.0,LEW,HTS IL-13,1212.0,340.0063957,32.90671065,2.385912992,79.43654031,13.84448859,1
94,2021.0,LEW,HTS IL-16,1225.0,216.6969875,24.8495293,2.16272696,61.12667555,11.53443162,1
95,2021.0,LEW,HTS IL-16,2001.0,283.2322031,28.65687857,2.198295413,70.17533045,13.07204956,2
96,2021.0,LEW,HTS IL-19,1156.0,230.4160845,26.17103816,2.208077757,63.92009939,11.91694152,1
97,2021.0,LEW,HTS IL-19,2164.0,224.7624367,25.34605465,2.134424119,62.51916637,11.91607193,2
98,2021.0,LEW,HTS IL-21,2100.0,351.0265431,31.15787749,2.122487265,77.09852805,14.69755423,2
99,2021.0,LEW,HTS IL-21,1061.0,338.1158659,30.80381739,2.152867129,75.72145888,14.27805415,1
100,2021.0,LEW,HTS IL-22,1260.0,349.8400193,31.89646173,2.198691042,78.43497289,14.55346386,1
101,2021.0,LEW,HTS IL-22,2160.0,366.3981396,33.06458859,2.248424397,80.63803006,14.80497253,2
102,2021.0,LEW,HTS IL-25,1007.0,235.2439343,26.38989832,2.267130325,64.06321174,11.68708648,1
103,2021.0,LEW,HTS IL-25,2015.0,274.1936105,28.93856662,2.314211607,69.81226942,12.58967769,2
104,2021.0,LEW,HTS IL-28,2088.0,295.9727561,30.11303315,2.354285357,72.41536299,12.91627151,2
105,2021.0,LEW,HTS IL-28,1082.0,260.4491259,27.60675161,2.206841504,67.62735046,12.55854436,1
106,2021.0,LEW,HTS IL-29,2256.0,197.7434634,24.51463909,2.264320745,59.16684277,10.8949407,2
107,2021.0,LEW,HTS IL-29,1200.0,185.7022075,23.68104252,2.247067171,57.34616636,10.61907797,1
108,2021.0,LEW,HTS IL-30,2185.0,326.5750907,31.17934703,2.242734308,76.12991732,14.04078604,2
109,2021.0,LEW,HTS IL-30,1045.0,331.6979889,31.0597404,2.184510335,76.58699917,14.28603075,1
110,2021.0,LEW,HTS IL-33,2077.0,350.176144,33.66120004,2.399042045,80.58190027,14.14929757,2
111,2021.0,LEW,HTS IL-33,1078.0,343.1332158,32.50637463,2.288306682,79.15307305,14.29780542,1
112,2021.0,LEW,HTS IL-34,2055.0,316.1994663,32.23670029,2.444664217,77.38560719,13.26819023,2
113,2021.0,LEW,HTS IL-34,1018.0,313.9026872,31.84995205,2.393804525,76.63448327,13.340099,1
114,2021.0,LEW,HTS IL-37,2093.0,301.9415952,30.9609447,2.392890452,74.07628312,13.02898732,2
115,2021.0,LEW,HTS IL-37,1186.0,272.8900135,28.73918616,2.26495479,69.5360745,12.7507821,1
116,2021.0,LEW,HTS IL-38,2234.0,287.7984849,29.39365753,2.322381157,71.01023389,12.65615111,2
117,2021.0,LEW,HTS IL-38,1167.0,226.6522602,25.72446808,2.259888444,62.64265418,11.50239945,1
118,2021.0,LEW,HTS IL-39,1143.0,278.7036716,28.32185089,2.191337202,69.38497554,12.86471925,1
119,2021.0,LEW,HTS IL-39,2057.0,224.8619864,25.1129334,2.107797011,62.14248506,11.9935462,2
120,2021.0,LEW,HTS IL-40,2249.0,378.5863,35.10030123,2.409017205,84.45931145,14.69266741,2
121,2021.0,LEW,HTS IL-40,1087.0,372.085132,34.26274155,2.321236799,82.77878459,14.87586227,1
122,2021.0,LEW,HTS IL-41,2255.0,307.0994928,31.72936145,2.422507643,76.25629719,13.17502982,2
123,2021.0,LEW,HTS IL-41,1055.0,326.694211,32.68778991,2.436864825,78.29692721,13.48053231,1
124,2021.0,LEW,HTS IL-43,2205.0,399.1468873,34.14107948,2.194659291,83.89238262,15.66979859,2
125,2021.0,LEW,HTS IL-43,1113.0,361.6183067,32.61504747,2.21375687,79.82213227,14.9039451,1
126,2021.0,LEW,HTS IL-44,2140.0,370.3370214,35.08593073,2.494267361,83.35909482,14.19062732,2
127,2021.0,LEW,HTS IL-44,1029.0,277.5737207,30.22121911,2.43684505,72.38520351,12.48442349,1
128,2021.0,LEW,HTS IL-46,2206.0,251.6406416,26.85282883,2.183911354,65.80191473,12.31202916,2
129,2021.0,LEW,HTS IL-46,1037.0,203.6601003,23.59881478,2.04949175,58.78620528,11.57716469,1
130,2021.0,LEW,HTS IL-47,2052.0,467.6922745,39.89116441,2.513168008,94.50393475,15.96996229,2
131,2021.0,LEW,HTS IL-47,1151.0,449.7971172,40.77984118,2.65612098,94.73988207,15.44907118,1
132,2021.0,LEW,HTS IL-49,2241.0,318.4125838,32.80577903,2.51271905,77.73129864,13.22798897,2
133,2021.0,LEW,HTS IL-49,1161.0,309.4381561,32.75919669,2.587924567,76.86017567,12.74992989,1
134,2021.0,LEW,HTS IL-50,1064.0,389.6902346,34.92729624,2.352392521,84.63920465,15.0291803,1
135,2021.0,LEW,HTS IL-50,2122.0,307.1305752,30.09270506,2.199959403,73.80496015,13.80425555,2
136,2021.0,LEW,HTS IL-51,2193.0,344.9673922,33.88189175,2.47432921,80.7607852,13.85371962,2
137,2021.0,LEW,HTS IL-51,1247.0,360.2372078,35.08699553,2.55712589,82.99491684,13.84519492,1
138,2021.0,LEW,HTS IL-52,1219.0,309.7655253,32.05829224,2.457728288,76.49993986,13.21353724,1
139,2021.0,LEW,HTS IL-52,2074.0,300.0507743,31.17296132,2.417692484,74.62950851,12.98821343,2
140,2021.0,LEW,HTS IL-53,2265.0,301.7250163,29.48680212,2.166132305,72.87586307,13.7091711,2
141,2021.0,LEW,HTS IL-53,1030.0,350.7904737,31.5048218,2.14645742,77.73700709,14.84706172,1
142,2021.0,LEW,HTS IL-54,2101.0,407.2279736,36.81539577,2.501917775,87.50237899,14.88544811,2
143,2021.0,LEW,HTS IL-54,1026.0,315.4704685,30.15064016,2.19704955,74.25550199,13.8531226,1
144,2021.0,LEW,HTS IL-55,2051.0,228.0628172,26.18622821,2.260370758,63.66462969,11.67596491,2
145,2021.0,LEW,HTS IL-55,1038.0,224.3088051,25.61149649,2.202269332,62.44051163,11.69361729,1
146,2021.0,LEW,HTS IL-56,1163.0,327.1110734,31.65464893,2.315889438,76.92499275,13.78935613,1
147,2021.0,LEW,HTS IL-56,2154.0,328.5802843,32.42724478,2.399916554,77.82971828,13.53871425,2
148,2021.0,LEW,HTS IL-58,2188.0,202.3921366,24.34899657,2.200730757,59.46463401,11.1325415,2
149,2021.0,LEW,HTS IL-58,1172.0,199.4612299,24.45074311,2.236129072,59.53600182,10.97682807,1
150,2021.0,LEW,HTS IL-59,2039.0,351.5386331,32.51542249,2.234226852,80.12689662,14.66852617,2
151,2021.0,LEW,HTS IL-59,1042.0,388.0337706,34.38011952,2.290666787,83.68151009,15.10388964,1
152,2021.0,LEW,HTS IL-65,2034.0,324.7823861,31.11883325,2.227802296,75.52670159,14.05446247,2
153,2021.0,LEW,HTS IL-65,1054.0,310.665879,30.17658376,2.206665391,73.51895301,13.75671977,1
154,2021.0,LEW,HTS IL-66,1248.0,199.5518064,24.88125776,2.332829617,59.81761351,10.81656229,1
155,2021.0,LEW,HTS IL-66,2161.0,190.8049611,24.61970272,2.380790758,59.03836219,10.45582142,2
156,2021.0,LEW,HTS IL-67,2224.0,237.1238702,27.75268604,2.444528914,66.07186427,11.44316379,2
157,2021.0,LEW,HTS IL-67,1124.0,229.502285,26.96787157,2.368122128,64.74676552,11.46482306,1
158,2021.0,LEW,HTS IL-68,2152.0,474.3836632,37.73628785,2.229918257,91.97675728,17.12511471,2
159,2021.0,LEW,HTS IL-68,1108.0,451.4242534,36.74377184,2.244885675,90.10437433,16.58831039,1
160,2021.0,LEW,HTS IL-71,2169.0,221.8703799,26.75189918,2.379048954,64.17872762,11.30181585,2
161,2021.0,LEW,HTS IL-71,1036.0,237.4279143,27.91335708,2.406052904,66.07544684,11.70145506,1
162,2021.0,LEW,HTS IL-72,2208.0,272.061772,27.81959394,2.123216584,68.99634705,13.1516082,2
163,2021.0,LEW,HTS IL-72,1153.0,290.0125976,29.11842092,2.207921566,71.41447039,13.25239765,1
164,2021.0,LEW,HTS IL-73,2116.0,341.2660659,31.58356212,2.204406355,77.72429881,14.41756197,2
165,2021.0,LEW,HTS IL-73,1019.0,307.5732369,29.69132686,2.156732217,73.3306588,13.86802542,1
166,2021.0,LEW,HTS IL-74,2012.0,311.0515313,30.949548,2.316761124,74.87284628,13.3848519,2
167,2021.0,LEW,HTS IL-74,1053.0,265.7730869,27.15203219,2.088332351,67.37313462,13.09039491,1
168,2021.0,LEW,HTS IL-76,1235.0,435.0809696,36.30373203,2.275207513,88.79700618,16.09041072,1
169,2021.0,LEW,HTS IL-76,2092.0,419.4379728,35.34799182,2.291152029,85.70888568,15.55664761,2
170,2021.0,LEW,HTS IL-77,2068.0,383.6512129,37.04288681,2.645094223,87.03906734,14.14811217,2
171,2021.0,LEW,HTS IL-77,1046.0,376.5407585,36.99798282,2.685861351,85.92349469,13.9135862,1
172,2021.0,LEW,HTS IL-84,2211.0,378.1731284,33.6543006,2.250034893,82.18852663,15.09177233,2
173,2021.0,LEW,HTS IL-84,1197.0,348.7574059,31.89342059,2.169931209,78.25396177,14.79566287,1
174,2021.0,LEW,HTS IL-88,1256.0,267.7277337,28.24039004,2.312050613,68.19176244,12.23961596,1
175,2021.0,LEW,HTS IL-88,2214.0,247.1775668,27.94099399,2.389373932,66.75578204,11.72545921,2
176,2021.0,LEW,N05006,1201.0,369.2105493,32.96332982,2.232326839,80.89075153,14.92018389,1
177,2021.0,LEW,N05006,2033.0,356.6133181,32.44815585,2.229585898,79.72441439,14.68267162,2
178,2021.0,LEW,N10066,1125.0,414.3712724,37.26852872,2.518910512,88.40350346,14.93074628,1
179,2021.0,LEW,N10066,2245.0,440.9621497,38.3993764,2.511717621,91.10312961,15.44574954,2
180,2021.0,LEW,N11055,2120.0,401.0005875,36.24755555,2.451729693,86.71475573,14.87573648,2
181,2021.0,LEW,N11055,1015.0,360.2167201,34.25716758,2.424237474,81.90399463,14.21646253,1
182,2021.0,LEW,N12009,2172.0,395.2389211,36.31445305,2.515053365,86.51715586,14.54230168,2
183,2021.0,LEW,N12009,1075.0,355.8829152,34.28951637,2.465935011,81.45428506,13.98695996,1
184,2021.0,LEW,N13031,2022.0,379.7565318,34.74157239,2.362063153,84.16967343,14.91381808,2
185,2021.0,LEW,N13031,1162.0,345.2094261,31.36611369,2.146525885,77.75279996,14.75175811,1
186,2021.0,LEW,N13042,2066.0,429.4331152,37.95033863,2.512957484,90.08527953,15.2307427,2
187,2021.0,LEW,N13042,1208.0,371.3928628,34.49333021,2.434728606,82.51765447,14.28012036,1
188,2021.0,LEW,N13051,2069.0,292.3139145,30.71699458,2.419346455,73.743718,12.80473805,2
189,2021.0,LEW,N13051,1194.0,259.2858878,29.94151456,2.519506797,70.8332995,11.96890099,1
190,2021.0,LEW,N14001,2108.0,428.023737,37.90984756,2.499322711,90.00574379,15.32060754,2
191,2021.0,LEW,N14001,1033.0,372.4335339,34.18507658,2.339255331,82.86144591,14.72346764,1
192,2021.0,LEW,N14002,2257.0,453.8411503,39.40470822,2.524963884,93.06727085,15.76902165,2
193,2021.0,LEW,N14002,1189.0,438.1833691,39.80367906,2.687529993,92.70058969,14.98085897,1
194,2021.0,LEW,N14004,1224.0,432.3013631,38.72634588,2.574953729,91.22404152,15.15465518,1
195,2021.0,LEW,N14004,2182.0,455.2997362,41.92509328,2.759504497,97.15100302,15.31693159,2
196,2021.0,LEW,N14007,1262.0,431.5482059,37.30666896,2.434380825,89.48954609,15.56036471,1
197,2021.0,LEW,N14007,2157.0,383.9336151,35.87370129,2.49699755,85.12817945,14.52438996,2
198,2021.0,LEW,N14009,2025.0,422.1749874,37.79860135,2.524552169,89.4942852,15.10243702,2
199,2021.0,LEW,N14009,1229.0,426.5992336,37.36861377,2.432638635,89.52474261,15.47524424,1
200,2021.0,LEW,N14017,2239.0,440.4316024,37.70095015,2.414976064,90.83806544,15.72579388,2
201,2021.0,LEW,N14017,1251.0,411.0623204,36.05394627,2.362966815,87.02183969,15.34445106,1
202,2021.0,LEW,N14027,2199.0,413.0278077,36.95705569,2.483224664,87.93418558,15.02275664,2
203,2021.0,LEW,N14027,1217.0,374.2985794,36.37009279,2.628076898,85.09412368,13.93468637,1
204,2021.0,LEW,N14039,1239.0,457.9501281,39.21100364,2.49771916,93.44816082,15.95198896,1
205,2021.0,LEW,N14039,2131.0,417.7420535,35.96125929,2.330385157,87.30114421,15.61385302,2
206,2021.0,LEW,N15017,1226.0,370.2475044,33.65526215,2.288886058,82.21544908,14.83756742,1
207,2021.0,LEW,N15017,2045.0,426.3856222,38.39862029,2.568756043,90.67982255,15.06879204,2
208,2021.0,LEW,N15039,1154.0,372.1608047,34.4041249,2.398668169,82.9193496,14.44240922,1
209,2021.0,LEW,N15039,2091.0,368.9906348,34.40243507,2.403943727,82.65106719,14.38544655,2
210,2021.0,LEW,N15041,1259.0,427.5798969,37.69514675,2.504310837,89.94276043,15.16095427,1
211,2021.0,LEW,N15041,2046.0,380.0985604,35.36489386,2.470848891,83.99945729,14.46221666,2
212,2021.0,LEW,N15044,2209.0,395.7878816,36.67461284,2.526190631,86.74369812,14.62132413,2
213,2021.0,LEW,N15044,1130.0,382.8327398,35.62958645,2.490389328,84.93585491,14.48423871,1
214,2021.0,LEW,N15053,2222.0,444.6087014,39.83414919,2.615309086,93.48958575,15.3568148,2
215,2021.0,LEW,N15053,1074.0,414.761833,37.61646107,2.541123662,89.04274855,14.96723825,1
216,2021.0,LEW,N15060,2070.0,449.7643026,39.44853882,2.521830782,93.83160159,15.78975876,2
217,2021.0,LEW,N15060,1199.0,438.8319618,37.00724567,2.336762637,89.73705594,16.01844836,1
218,2021.0,LEW,N15066,2150.0,448.515797,37.6600521,2.382711449,91.20479969,16.01646576,2
219,2021.0,LEW,N15066,1006.0,443.4976498,37.95385135,2.448617253,90.94476659,15.67608895,1
220,2021.0,LEW,N16005,2054.0,399.5634839,37.96550238,2.643183265,89.33705215,14.49647146,2
221,2021.0,LEW,N16005,1052.0,398.057225,36.82963171,2.570787199,87.4120256,14.5158224,1
222,2021.0,LEW,N16011,2087.0,440.6456862,38.23666552,2.428257485,91.3288305,15.85291362,2
223,2021.0,LEW,N16011,1214.0,391.4242047,35.06472228,2.369990207,84.49043235,14.9687579,1
224,2021.0,LEW,N16012,2113.0,439.329265,37.58589835,2.397412452,89.42452389,15.81305343,2
225,2021.0,LEW,N16012,1112.0,408.6107631,36.02327917,2.389658313,86.86579855,15.19898597,1
226,2021.0,LEW,N16021,2251.0,425.2984013,37.79213035,2.503981712,90.05275137,15.221203,2
227,2021.0,LEW,N16021,1236.0,414.020847,37.13322502,2.459685961,88.59443812,15.27476745,1
228,2021.0,LEW,N16028,2165.0,395.735334,37.57350773,2.617401259,88.10840323,14.54163884,2
230,2021.0,LEW,N16030,2090.0,430.915328,39.26757023,2.610626933,92.79768293,15.18261748,2
231,2021.0,LEW,N16030,1198.0,375.7243875,35.81247688,2.500984003,85.47372253,14.43983466,1
232,2021.0,LEW,N16032,2082.0,425.6739602,37.63711241,2.498134237,89.55635672,15.17484549,2
233,2021.0,LEW,N16032,1147.0,400.5404528,35.50892849,2.371305384,85.65928479,15.09139238,1
234,2021.0,LEW,N16034,2065.0,335.1273905,30.75775703,2.087497659,76.63448141,14.90775846,2
235,2021.0,LEW,N16034,1249.0,351.7800807,32.56985051,2.253307645,79.2948262,14.56358266,1
236,2021.0,LEW,N16035,2192.0,485.2073911,40.16953904,2.473012876,96.68715955,16.4257285,2
237,2021.0,LEW,N16035,1012.0,433.587332,37.83062967,2.479621858,89.96145531,15.46258929,1
238,2021.0,LEW,N16050,2109.0,448.9782941,39.11040029,2.555329233,92.58156975,15.42351216,2
239,2021.0,LEW,N16050,1089.0,393.3253666,35.9250685,2.494583998,85.64691951,14.49745009,1
240,2021.0,LEW,N16055,1121.0,361.1259766,34.75206873,2.501044162,82.72941785,14.02388009,1
241,2021.0,LEW,N16055,2263.0,390.2527365,36.55102307,2.566535271,86.36747417,14.29989456,2
242,2021.0,LEW,N17036,1237.0,459.1281991,38.51217879,2.405686282,92.32286779,16.12806476,1
243,2021.0,LEW,N17036,2248.0,463.1465004,39.4924236,2.529796693,93.11057676,15.77195596,2
244,2021.0,LEW,N17037,2010.0,488.1246794,40.81542883,2.546908719,96.63464705,16.14347277,2
245,2021.0,LEW,N17037,1157.0,445.3512599,38.07397844,2.43305182,91.42498555,15.77856528,1
246,2021.0,LEW,N17039,2203.0,466.5606677,39.77214546,2.54501842,94.21748437,15.80408371,2
247,2021.0,LEW,N17039,1041.0,435.9576616,38.3770737,2.486209764,91.04610828,15.48184849,1
248,2021.0,LEW,N17040,2021.0,433.7384763,37.90330775,2.476838913,90.068152,15.42473663,2
249,2021.0,LEW,N17040,1014.0,411.6937245,36.24723741,2.380926862,86.61660552,15.36488222,1
250,2021.0,LEW,N17041,1059.0,409.5473245,37.19524922,2.497476528,88.26664031,14.99587033,1
251,2021.0,LEW,N17041,2080.0,436.5112983,38.46102708,2.493743435,91.48885701,15.48985619,2
252,2021.0,LEW,N17042,2174.0,453.434041,38.96665636,2.507596299,92.58945895,15.63500636,2
253,2021.0,LEW,N17042,1230.0,409.3902563,36.12336014,2.389193137,87.53670234,15.17820411,1
254,2021.0,LEW,N17044,1175.0,479.9708382,38.15126405,2.283770976,93.24571351,16.83035204,1
255,2021.0,LEW,N17044,2037.0,511.6967682,41.35806728,2.487924244,98.42065739,16.77155174,2
256,2021.0,LEW,N17045,1202.0,404.2056951,36.79545555,2.51290877,87.64646696,14.75981171,1
257,2021.0,LEW,N17045,2223.0,430.6440995,38.22472533,2.533548416,90.24119624,15.21889332,2
258,2021.0,LEW,N17046,2083.0,375.3398122,37.03588756,2.657166094,86.55881209,14.06058811,2
